customer_id,concept_id,pilot_interest,urgency_score,budget_signal,willingness_to_pay,expected_value,implementation_risk
CUST0004,C001,0.0,56.8,Unclear,28655.0,54777.0,19.6
CUST0001,C001,1.0,38.1,Likely,36562.0,186800.0,29.2
CUST0005,C001,0.0,42.9,None,20793.0,156054.0,29.8
CUST0003,C001,1.0,46.5,Likely,24015.0,269706.0,34.7
CUST0006,C001,0.0,57.1,,8662.0,99637.0,13.6
CUST0009,C002,1.0,37.2,None,50126.0,161182.0,29.7
CUST0010,C002,1.0,55.3,None,37919.0,225778.0,46.4
CUST0011,C002,0.0,38.3,Confirmed,37862.0,,48.0
CUST0012,C002,0.0,48.0,Confirmed,43000.0,214501.0,57.0
CUST0013,C003,0.0,61.3,Unclear,31806.0,121399.0,23.0
CUST0014,C003,0.0,61.2,Likely,14855.0,244228.0,58.7
CUST0015,C004,1.0,59.9,Unclear,49743.0,198625.0,79.8
CUST0016,C004,1.0,76.2,,63708.0,213240.0,52.9
CUST0023,C005,,38.8,Likely,31744.0,22111.0,61.8
CUST0019,C005,0.0,32.5,Unclear,35560.0,54259.0,46.4
CUST0017,C005,0.0,50.1,Likely,32069.0,131875.0,46.4
CUST0021,C005,,,None,16410.0,124235.0,57.4
CUST0022,C005,1.0,41.0,Likely,51479.0,101359.0,45.7
CUST0029,C006,1.0,76.7,Likely,42483.0,255738.0,83.7
CUST0025,C006,1.0,95.8,Likely,46436.0,297007.0,86.5
CUST0027,C006,1.0,53.9,None,55053.0,163230.0,75.7
CUST0026,C006,1.0,69.4,None,26500.0,280852.0,72.4
CUST0031,C006,1.0,55.8,Likely,,257781.0,87.4
CUST0032,C007,1.0,76.0,Likely,30095.0,194162.0,15.4
CUST0033,C007,1.0,81.8,Confirmed,36205.0,138607.0,11.9
CUST0037,C008,0.0,19.3,Unclear,0.0,,10.5
CUST0036,C008,0.0,24.8,Confirmed,17657.0,92549.0,4.2
CUST0038,C008,0.0,28.2,Likely,31565.0,116126.0,
CUST0034,C008,0.0,11.6,Unclear,16551.0,136560.0,12.2
CUST0040,C008,0.0,15.7,None,18231.0,0.0,11.2
CUST0042,C009,0.0,58.8,Unclear,,108355.0,25.3
CUST0043,C009,0.0,94.5,,16839.0,222584.0,24.9
CUST0044,C009,0.0,33.6,Unclear,38342.0,205146.0,29.6
CUST0045,C009,1.0,86.6,Likely,31900.0,123991.0,37.0
CUST0046,C010,1.0,38.6,Confirmed,44845.0,163268.0,
CUST0047,C010,1.0,75.3,Unclear,,202026.0,52.8
CUST0048,C010,0.0,35.4,,34222.0,154310.0,51.2
CUST0049,C010,1.0,48.7,Unclear,40343.0,155451.0,31.8
CUST0050,C010,0.0,56.3,,31694.0,122025.0,39.0
CUST0051,C011,1.0,89.3,Likely,,221286.0,15.6
CUST0052,C011,1.0,100.0,Unclear,57801.0,286468.0,0.0
CUST0053,C012,1.0,84.5,Likely,48168.0,148965.0,5.4
CUST0054,C012,0.0,48.3,None,39436.0,240242.0,13.7
CUST0055,C012,1.0,71.6,Likely,36531.0,227586.0,11.6
CUST0056,C013,1.0,44.1,Confirmed,33412.0,169491.0,35.9
CUST0057,C013,1.0,,Confirmed,14391.0,176753.0,
CUST0058,C013,1.0,,None,4083.0,200040.0,20.7
CUST0059,C014,1.0,38.5,Likely,21978.0,139615.0,72.3
CUST0060,C014,0.0,40.1,Unclear,34585.0,85206.0,84.3
CUST0061,C014,0.0,31.4,Likely,20649.0,182303.0,65.9
CUST0062,C015,1.0,29.6,Unclear,6281.0,194342.0,37.0
CUST0063,C015,0.0,15.6,Unclear,0.0,285263.0,28.6
CUST0064,C015,0.0,16.7,Likely,29243.0,141715.0,47.4
CUST0065,C015,1.0,29.4,Unclear,25604.0,153530.0,58.3
CUST0066,C015,0.0,58.6,None,14773.0,192628.0,45.3
CUST0067,C016,0.0,30.1,Likely,6405.0,35155.0,9.5
CUST0068,C016,0.0,32.0,Likely,22224.0,84548.0,20.2
CUST0069,C017,0.0,74.9,Confirmed,41345.0,243177.0,67.3
CUST0070,C017,1.0,65.7,Confirmed,42404.0,260472.0,73.1
CUST0071,C018,,80.4,None,46873.0,223317.0,77.8
CUST0072,C018,1.0,91.5,Confirmed,62662.0,292522.0,66.6
CUST0073,C018,1.0,76.2,None,55639.0,225692.0,91.8
CUST0074,C018,1.0,61.0,Likely,43310.0,127040.0,66.3
CUST0075,C018,1.0,99.5,Unclear,62745.0,65785.0,83.6
CUST0076,C019,0.0,48.5,Confirmed,30093.0,179882.0,37.9
