customer_id,concept_id,segment,demo_date,feedback_score,follow_up_requested,decision_maker_present,objections_count
CUST0001,C001,Public Sector,2026-04-20,1.2,0.0,0.0,2.0
CUST0002,C001,Mid-Market,2026-05-19,2.1,1.0,0.0,1.0
CUST0003,C001,Mid-Market,2025-10-29,1.0,1.0,0.0,0.0
CUST0004,C001,Mid-Market,2026-05-27,2.7,1.0,1.0,5.0
CUST0005,C001,Enterprise,2026-06-23,3.1,,0.0,4.0
CUST0006,C001,Enterprise,2026-01-27,2.3,1.0,1.0,
CUST0007,C001,Enterprise,2026-01-11,2.6,1.0,1.0,4.0
CUST0008,C001,SMB,2025-11-18,4.0,1.0,1.0,2.0
CUST0009,C002,Enterprise,2025-09-14,4.3,0.0,1.0,3.0
CUST0010,C002,Public Sector,2026-06-14,2.7,0.0,,0.0
CUST0011,C002,Mid-Market,2026-03-07,1.0,0.0,1.0,1.0
CUST0012,C002,Mid-Market,2026-05-14,,1.0,1.0,1.0
CUST0013,C003,Mid-Market,2025-11-05,2.9,1.0,1.0,1.0
CUST0014,C003,Enterprise,2025-12-07,1.3,1.0,0.0,2.0
CUST0015,C004,Enterprise,2026-01-02,1.3,1.0,,1.0
CUST0016,C004,Enterprise,2026-06-05,4.4,0.0,0.0,1.0
CUST0017,C005,Enterprise,2025-10-29,2.7,0.0,1.0,4.0
CUST0018,C005,Mid-Market,2026-01-18,3.7,0.0,1.0,2.0
CUST0019,C005,Public Sector,2026-04-17,1.5,0.0,,
CUST0020,C005,Public Sector,2026-02-18,,0.0,,3.0
CUST0021,C005,SMB,2025-10-19,2.2,0.0,0.0,3.0
CUST0022,C005,SMB,2026-01-24,2.7,0.0,1.0,2.0
CUST0023,C005,SMB,2026-05-23,,0.0,1.0,2.0
CUST0024,C006,SMB,2026-01-14,1.7,1.0,1.0,1.0
CUST0025,C006,Enterprise,2026-05-26,5.0,1.0,0.0,0.0
CUST0026,C006,SMB,2026-02-06,,0.0,1.0,0.0
CUST0027,C006,Public Sector,2026-05-22,2.9,1.0,1.0,0.0
CUST0028,C006,SMB,2026-03-24,4.9,1.0,0.0,2.0
CUST0029,C006,Public Sector,2026-01-11,5.0,1.0,1.0,0.0
CUST0030,C006,SMB,2025-10-29,2.5,1.0,0.0,
CUST0031,C006,Public Sector,2026-06-10,3.2,1.0,0.0,4.0
CUST0032,C007,Mid-Market,2026-01-11,5.0,1.0,1.0,2.0
CUST0033,C007,Public Sector,2025-10-22,4.6,1.0,0.0,2.0
CUST0034,C008,Mid-Market,2026-04-11,1.2,0.0,0.0,1.0
CUST0035,C008,SMB,2026-04-15,1.0,0.0,1.0,6.0
CUST0036,C008,Public Sector,2026-03-01,1.0,0.0,0.0,2.0
CUST0037,C008,SMB,2025-12-09,1.3,0.0,1.0,2.0
CUST0038,C008,SMB,2026-05-10,1.0,0.0,0.0,3.0
CUST0039,C008,SMB,2026-04-06,1.3,0.0,1.0,4.0
CUST0040,C008,Enterprise,2026-03-08,1.0,0.0,0.0,0.0
CUST0041,C008,Public Sector,2026-01-28,1.5,0.0,1.0,6.0
CUST0042,C009,Mid-Market,2025-12-14,2.8,1.0,1.0,3.0
CUST0043,C009,Public Sector,2025-11-20,3.9,1.0,1.0,2.0
CUST0044,C009,Public Sector,2026-04-24,3.1,0.0,1.0,1.0
CUST0045,C009,SMB,2026-05-04,2.9,0.0,1.0,1.0
CUST0046,C010,SMB,2025-10-11,1.5,1.0,0.0,0.0
CUST0047,C010,Public Sector,2025-10-23,1.0,1.0,0.0,1.0
CUST0048,C010,Enterprise,2026-02-03,1.6,,1.0,4.0
CUST0049,C010,Mid-Market,2026-05-19,2.7,0.0,0.0,4.0
CUST0050,C010,Public Sector,2026-01-07,1.0,0.0,1.0,3.0
CUST0051,C011,Mid-Market,2026-04-29,2.7,1.0,1.0,0.0
CUST0052,C011,SMB,2026-01-03,3.7,1.0,0.0,0.0
CUST0053,C012,Mid-Market,2025-11-29,4.5,1.0,0.0,0.0
CUST0054,C012,SMB,2026-04-16,2.8,0.0,1.0,2.0
CUST0055,C012,Enterprise,2026-05-01,2.9,1.0,0.0,1.0
CUST0056,C013,Mid-Market,2025-11-01,2.6,0.0,1.0,3.0
CUST0057,C013,Enterprise,2025-10-07,3.4,0.0,0.0,5.0
CUST0058,C013,Enterprise,2026-01-20,3.3,0.0,1.0,3.0
CUST0059,C014,Mid-Market,2026-01-16,2.9,0.0,0.0,2.0
CUST0060,C014,SMB,2026-02-17,1.1,0.0,1.0,3.0
CUST0061,C014,SMB,2026-02-11,1.0,0.0,0.0,0.0
CUST0062,C015,SMB,2026-06-07,1.0,1.0,1.0,1.0
CUST0063,C015,SMB,2026-04-11,,0.0,1.0,4.0
CUST0064,C015,Enterprise,2026-04-18,1.6,0.0,1.0,7.0
CUST0065,C015,Enterprise,2025-12-01,1.0,0.0,0.0,3.0
CUST0066,C015,SMB,2026-04-15,1.3,0.0,0.0,3.0
CUST0067,C016,Enterprise,2026-05-29,1.7,,0.0,3.0
CUST0068,C016,Mid-Market,2025-10-09,1.8,0.0,1.0,5.0
CUST0069,C017,SMB,2025-09-14,2.4,1.0,0.0,2.0
CUST0070,C017,SMB,2026-03-02,3.3,1.0,1.0,2.0
CUST0071,C018,Enterprise,2026-02-05,,0.0,0.0,0.0
CUST0072,C018,Public Sector,2026-06-12,5.0,1.0,1.0,1.0
CUST0073,C018,SMB,2026-06-09,2.8,1.0,0.0,1.0
CUST0074,C018,Public Sector,2025-10-31,4.1,0.0,0.0,0.0
CUST0075,C018,Public Sector,2026-05-18,3.3,1.0,1.0,1.0
CUST0076,C019,Mid-Market,2026-03-17,1.0,0.0,1.0,0.0
CUST0077,C019,Enterprise,2026-01-12,1.6,,0.0,
CUST0078,C019,Mid-Market,2026-01-17,3.4,0.0,,3.0
CUST0079,C019,Mid-Market,2025-09-07,2.3,0.0,0.0,1.0
CUST0080,C020,SMB,2026-04-29,2.9,1.0,1.0,
CUST0081,C020,Mid-Market,2026-06-26,4.4,1.0,0.0,1.0
CUST0082,C020,Mid-Market,2025-10-10,1.0,1.0,1.0,0.0
CUST0083,C020,Mid-Market,2026-04-05,3.4,0.0,1.0,2.0
CUST0084,C020,SMB,2025-09-13,3.2,1.0,1.0,0.0
CUST0085,C020,Public Sector,2025-11-08,2.1,0.0,1.0,1.0
CUST0086,C020,SMB,2025-09-23,2.6,1.0,,1.0
CUST0087,C020,Public Sector,2026-06-25,2.7,1.0,0.0,3.0
CUST0088,C021,SMB,2026-05-14,1.7,0.0,1.0,3.0
CUST0089,C021,SMB,2026-04-22,2.3,0.0,1.0,0.0
CUST0090,C021,Public Sector,2025-12-28,1.7,0.0,1.0,2.0
CUST0091,C021,Public Sector,2025-12-16,1.7,1.0,0.0,4.0
CUST0092,C022,SMB,2025-10-21,1.0,,0.0,1.0
CUST0093,C022,Public Sector,2025-12-24,1.8,0.0,0.0,2.0
CUST0094,C022,Enterprise,2025-12-05,1.6,0.0,0.0,3.0
CUST0095,C022,Public Sector,2026-05-19,1.3,1.0,1.0,4.0
CUST0096,C023,Public Sector,2026-02-10,5.0,1.0,1.0,0.0
CUST0097,C023,Enterprise,2025-12-14,3.4,0.0,0.0,2.0
CUST0098,C023,SMB,2026-06-26,4.5,1.0,0.0,3.0
CUST0099,C024,Public Sector,2025-09-14,1.1,1.0,1.0,2.0
CUST0100,C024,Enterprise,2026-04-04,2.3,1.0,0.0,1.0
CUST0101,C024,Public Sector,2026-05-31,1.5,0.0,0.0,2.0
CUST0102,C024,Enterprise,2026-03-07,3.0,1.0,1.0,3.0
CUST0103,C024,Public Sector,2026-04-14,3.0,0.0,0.0,3.0
CUST0104,C024,Enterprise,2025-11-03,2.7,0.0,1.0,2.0
CUST0105,C025,Enterprise,2025-09-27,,1.0,0.0,1.0
CUST0106,C025,Mid-Market,2025-10-16,5.0,1.0,0.0,0.0
CUST0107,C025,Mid-Market,2026-02-05,5.0,1.0,1.0,2.0
