customer_id,concept_id,trial_sessions,feature_clicks,repeat_usage_days,active_users,time_spent_minutes,abandoned_features
CUST0001,C001,,30.0,1.0,4.0,56.7,
CUST0002,C001,2.0,29.0,2.0,12.0,54.1,6.0
CUST0003,C001,2.0,31.0,2.0,4.0,24.0,3.0
CUST0004,C001,3.0,22.0,2.0,7.0,1.0,4.0
CUST0005,C001,1.0,,1.0,4.0,10.1,0.0
CUST0006,C001,5.0,16.0,1.0,4.0,13.9,4.0
CUST0007,C001,2.0,22.0,4.0,3.0,26.0,2.0
CUST0009,C002,5.0,28.0,3.0,1.0,54.1,2.0
CUST0010,C002,5.0,40.0,3.0,8.0,86.3,1.0
CUST0011,C002,5.0,25.0,6.0,4.0,73.5,1.0
CUST0012,C002,3.0,34.0,5.0,2.0,53.6,0.0
CUST0013,C003,1.0,11.0,4.0,1.0,29.5,2.0
CUST0014,C003,1.0,21.0,5.0,1.0,61.3,1.0
CUST0015,C004,4.0,44.0,12.0,5.0,92.8,1.0
CUST0016,C004,11.0,31.0,5.0,5.0,74.1,1.0
CUST0017,C005,6.0,14.0,9.0,6.0,68.6,3.0
CUST0018,C005,1.0,27.0,3.0,1.0,68.2,1.0
CUST0019,C005,2.0,13.0,6.0,6.0,78.9,3.0
CUST0022,C005,4.0,21.0,6.0,2.0,86.1,0.0
CUST0023,C005,4.0,22.0,4.0,1.0,77.1,1.0
CUST0024,C006,8.0,38.0,4.0,8.0,72.1,
CUST0027,C006,4.0,35.0,5.0,4.0,66.4,
CUST0028,C006,5.0,,8.0,5.0,40.8,
CUST0029,C006,1.0,25.0,8.0,4.0,82.3,3.0
CUST0031,C006,4.0,33.0,4.0,5.0,93.8,0.0
CUST0032,C007,4.0,,8.0,,79.2,0.0
CUST0033,C007,4.0,34.0,5.0,,62.4,1.0
CUST0034,C008,2.0,,3.0,4.0,34.6,1.0
CUST0035,C008,3.0,10.0,2.0,2.0,14.6,3.0
CUST0036,C008,1.0,10.0,1.0,5.0,42.9,3.0
CUST0037,C008,2.0,4.0,2.0,2.0,,
CUST0039,C008,3.0,7.0,0.0,2.0,76.9,2.0
CUST0040,C008,1.0,14.0,3.0,1.0,10.3,2.0
CUST0041,C008,5.0,9.0,1.0,2.0,44.5,2.0
CUST0042,C009,4.0,32.0,1.0,1.0,77.6,1.0
CUST0043,C009,3.0,37.0,5.0,4.0,70.2,1.0
CUST0044,C009,2.0,27.0,9.0,5.0,94.7,0.0
CUST0045,C009,6.0,29.0,4.0,5.0,43.8,1.0
CUST0046,C010,1.0,25.0,8.0,5.0,44.5,
CUST0047,C010,1.0,23.0,10.0,1.0,89.8,0.0
CUST0048,C010,5.0,22.0,6.0,4.0,74.9,1.0
CUST0050,C010,,17.0,5.0,2.0,55.6,0.0
CUST0051,C011,1.0,49.0,4.0,6.0,64.3,0.0
CUST0052,C011,5.0,36.0,8.0,6.0,58.8,1.0
CUST0053,C012,5.0,32.0,9.0,5.0,69.5,0.0
CUST0055,C012,5.0,36.0,3.0,1.0,74.9,0.0
CUST0056,C013,4.0,18.0,1.0,1.0,31.3,2.0
CUST0057,C013,2.0,,4.0,3.0,25.9,6.0
CUST0058,C013,,25.0,2.0,2.0,1.0,3.0
CUST0059,C014,4.0,15.0,6.0,3.0,55.8,1.0
CUST0060,C014,3.0,19.0,9.0,1.0,92.3,0.0
CUST0062,C015,5.0,19.0,3.0,3.0,27.1,
CUST0064,C015,6.0,24.0,4.0,1.0,25.9,3.0
CUST0065,C015,4.0,20.0,2.0,1.0,49.8,1.0
CUST0067,C016,1.0,23.0,6.0,2.0,31.5,
CUST0070,C017,1.0,48.0,,2.0,1.0,
